COMMIT | 1 | ADD_PARTICIPANT | 1 | NO_INTERVAL
COMMIT | 2 | SET_LEADER | 1 | 30
COMMIT | 3 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 4 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 5 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 6 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 7 | ADD_PARTICIPANT | 4 | NO_INTERVAL
ACCEPT | 8 | ADD_PARTICIPANT | 3 | NO_INTERVAL
COMMIT | 8 | ADD_PARTICIPANT | 3 | NO_INTERVAL
ACCEPT | 9 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 9 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 10 | ADD_PARTICIPANT | 2 | NO_INTERVAL
COMMIT | 10 | ADD_PARTICIPANT | 2 | NO_INTERVAL
ACCEPT | 11 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 11 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 12 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 12 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 13 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
COMMIT | 13 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
ACCEPT | 14 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 14 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 15 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 15 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 16 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 16 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 17 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 17 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 18 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 18 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 19 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 19 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 20 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 20 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 21 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 21 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 22 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 22 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 23 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 23 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 24 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 24 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 25 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 25 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 26 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 26 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 27 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
COMMIT | 27 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
ACCEPT | 28 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 28 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 29 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
COMMIT | 29 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
ACCEPT | 30 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 30 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 31 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 31 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 32 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 32 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 33 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 33 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 34 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 34 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 35 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
COMMIT | 35 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
ACCEPT | 36 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 36 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 37 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 37 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 38 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 38 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 39 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 39 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 40 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
COMMIT | 40 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
ACCEPT | 41 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 41 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 42 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 42 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 43 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 43 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 44 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 44 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 45 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 45 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 46 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 46 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 47 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 47 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 48 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 48 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 49 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 49 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 50 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
COMMIT | 50 | OPAQUE_DECREE | Opaque Decree from 3 | NO_INTERVAL
ACCEPT | 51 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 51 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 52 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
COMMIT | 52 | OPAQUE_DECREE | Opaque Decree from 2 | NO_INTERVAL
ACCEPT | 53 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 53 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
ACCEPT | 54 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
COMMIT | 54 | OPAQUE_DECREE | Opaque Decree from 4 | NO_INTERVAL
ACCEPT | 55 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
COMMIT | 55 | OPAQUE_DECREE | Opaque Decree from 1 | NO_INTERVAL
